2019-07-06 14:30:58,660 | task-login-class.py | loginAuth | INFO | 1 Login succ
2019-07-06 14:32:33,414 | task-login-class.py | loginAuth | INFO | 1 Login succ
2019-07-06 16:21:36,097 | task-login-class.py | loginAuth | INFO | 1 Login succ
2019-07-06 16:25:44,896 | task-login-class.py | loginAuth | INFO | 1 Login succ
2019-07-06 16:42:13,519 | task-login-class.py | loginAuth | INFO | 1 Login succ
2019-07-06 16:44:12,701 | task-login-class.py | loginAuth | INFO | 1 Login succ
2019-07-06 16:45:05,164 | task-login-class.py | deleteUser | INFO |  [32mDel monkey succ.[0m
2019-07-06 16:46:47,172 | task-login-class.py | loginAuth | INFO | 1 Login succ
2019-07-06 16:53:44,406 | task-login-class.py | loginAuth | INFO | 1 Login succ
2019-07-06 16:57:51,351 | task-login-class.py | loginAuth | INFO | 1 Login succ
2019-07-06 17:00:41,654 | task-login-class.py | loginAuth | INFO | 1 Login succ
2019-07-06 17:01:49,910 | task-login-class.py | loginAuth | INFO | 1 Login succ
2019-07-06 17:04:18,895 | task-login-class.py | loginAuth | INFO | 1 Login succ
2019-07-06 17:28:38,494 | task-login-class.py | loginAuth | INFO | 1 Login succ
